time,bid_price,ask_price,bid_size,ask_size,seq_num
2021-08-03 01:00:01.107502 UTC,228.2,230.2,300,300,1627942268920653174
2021-08-03 01:00:01.326608 UTC,228.4,230.2,300,300,1627942268920653175
2021-08-03 01:00:03.22333 UTC,229.13,230.2,1000,300,1627942268920653176
2021-08-03 01:00:03.225576 UTC,229.13,229.35,1000,1000,1627942268920653177
2021-08-03 01:00:03.32841 UTC,229.0,229.35,300,1000,1627942268920653182
2021-08-03 01:00:03.328426 UTC,229.14,229.35,1000,1000,1627942268920653183
2021-08-03 01:00:03.508721 UTC,229.0,229.35,300,1000,1627942268920653184
2021-08-03 01:00:03.508737 UTC,229.15,229.35,1000,1000,1627942268920653185
2021-08-03 01:00:03.588203 UTC,229.15,229.4,1000,300,1627942268920653186
2021-08-03 01:00:03.588224 UTC,229.15,229.34,1000,1000,1627942268920653187
2021-08-03 01:00:04.038695 UTC,229.0,229.34,300,1000,1627942268920653192
2021-08-03 01:00:04.038712 UTC,229.16,229.34,1000,1000,1627942268920653193
2021-08-03 01:00:04.039276 UTC,229.16,229.4,1000,300,1627942268920653194
2021-08-03 01:00:04.039293 UTC,229.16,229.35,1000,1000,1627942268920653195
2021-08-03 01:00:04.039797 UTC,229.16,229.4,1000,300,1627942268920653196
2021-08-03 01:00:04.039815 UTC,229.16,229.34,1000,1000,1627942268920653197
2021-08-03 01:00:04.138119 UTC,229.16,229.4,1000,300,1627942268920653198
2021-08-03 01:00:04.138158 UTC,229.16,229.35,1000,1000,1627942268920653199
2021-08-03 01:00:04.172746 UTC,229.0,229.35,300,1000,1627942268920653200
2021-08-03 01:00:04.184976 UTC,229.0,229.4,300,300,1627942268920653202
2021-08-03 01:00:04.172765 UTC,229.17,229.4,1000,300,1627942268920653201
2021-08-03 01:00:04.184994 UTC,229.17,229.36,1000,1000,1627942268920653203
2021-08-03 01:00:04.333981 UTC,229.0,229.36,300,1000,1627942268920653204
2021-08-03 01:00:04.334 UTC,229.18,229.36,1000,1000,1627942268920653205
2021-08-03 01:00:04.496122 UTC,229.0,229.36,300,1000,1627942268920653208
2021-08-03 01:00:04.496141 UTC,229.19,229.36,1000,1000,1627942268920653209
2021-08-03 01:00:04.553285 UTC,229.0,229.36,300,1000,1627942268920653214
2021-08-03 01:00:04.553312 UTC,229.18,229.36,1000,1000,1627942268920653215
2021-08-03 01:00:04.558666 UTC,229.18,229.4,1000,300,1627942268920653218
2021-08-03 01:00:04.558706 UTC,229.18,229.37,1000,1000,1627942268920653219
2021-08-03 01:00:04.65412 UTC,229.2,229.37,45,1000,1627942268920653220
2021-08-03 01:00:04.656328 UTC,229.2,229.37,1045,1000,1627942268920653224
2021-08-03 01:00:04.656837 UTC,229.2,229.37,45,1000,1627942268920653225
2021-08-03 01:00:04.732103 UTC,229.2,229.37,1045,1000,1627942268920653232
2021-08-03 01:00:04.743046 UTC,229.2,229.37,45,1000,1627942268920653233
2021-08-03 01:00:04.749235 UTC,229.2,229.37,1045,1000,1627942268920653236
2021-08-03 01:00:04.761058 UTC,229.2,229.4,1045,300,1627942268920653237
2021-08-03 01:00:04.761077 UTC,229.2,229.38,1045,1000,1627942268920653238
2021-08-03 01:00:04.827802 UTC,229.2,229.4,1045,300,1627942268920653239
2021-08-03 01:00:04.828152 UTC,229.2,229.4,45,300,1627942268920653240
2021-08-03 01:00:06.115762 UTC,229.2,229.4,300,300,1627942268920653241
2021-08-03 01:00:06.461529 UTC,229.23,229.4,1000,300,1627942268920653242
2021-08-03 01:00:06.49278 UTC,229.2,229.4,300,300,1627942268920653244
2021-08-03 01:00:06.492799 UTC,229.25,229.4,1000,300,1627942268920653245
2021-08-03 01:00:07.002278 UTC,229.25,229.4,1000,1300,1627942268920653267
2021-08-03 01:00:07.00224 UTC,229.25,229.4,1000,300,1627942268920653266
2021-08-03 01:00:07.026437 UTC,229.25,229.4,1000,1300,1627942268920653278
2021-08-03 01:00:07.026896 UTC,229.25,229.4,1000,300,1627942268920653279
2021-08-03 01:00:08.326244 UTC,229.25,230.2,1000,300,1627942268920653292
2021-08-03 01:00:09.135911 UTC,229.25,229.44,1000,1000,1627942268920653295
2021-08-03 01:00:09.17077 UTC,229.25,230.2,1000,300,1627942268920653296
2021-08-03 01:00:09.170816 UTC,229.25,229.43,1000,1000,1627942268920653297
2021-08-03 01:00:09.271219 UTC,229.25,229.4,1000,300,1627942268920653300
2021-08-03 01:00:09.326555 UTC,229.25,229.4,1000,1300,1627942268920653305
2021-08-03 01:00:09.459335 UTC,229.25,229.4,1000,300,1627942268920653311
2021-08-03 01:00:09.494796 UTC,229.25,229.4,1000,1300,1627942268920653314
2021-08-03 01:00:09.586702 UTC,229.25,229.4,1000,300,1627942268920653315
2021-08-03 01:00:10.609431 UTC,229.25,229.4,1000,1300,1627942268920653321
2021-08-03 01:00:10.610802 UTC,229.25,229.4,1000,300,1627942268920653323
2021-08-03 01:00:10.939927 UTC,229.25,229.4,1000,1300,1627942268920653326
2021-08-03 01:00:10.996659 UTC,229.25,229.4,1000,300,1627942268920653327
2021-08-03 01:00:11.001995 UTC,229.25,229.4,1000,1300,1627942268920653332
2021-08-03 01:00:11.092753 UTC,229.25,229.4,1000,300,1627942268920653333
2021-08-03 01:00:11.211024 UTC,229.25,229.4,1000,1300,1627942268920653336
2021-08-03 01:00:11.212017 UTC,229.25,229.4,1000,300,1627942268920653337
2021-08-03 01:00:11.365102 UTC,229.25,229.4,1000,1300,1627942268920653342
2021-08-03 01:00:11.366278 UTC,229.25,229.4,1000,300,1627942268920653343
2021-08-03 01:00:11.593146 UTC,229.25,229.4,1000,1300,1627942268920653350
2021-08-03 01:00:11.593126 UTC,229.25,229.4,1000,300,1627942268920653349
2021-08-03 01:00:11.745176 UTC,229.25,229.4,1000,1300,1627942268920653358
2021-08-03 01:00:11.747793 UTC,229.25,229.4,1000,300,1627942268920653359
2021-08-03 01:00:11.803242 UTC,229.25,229.4,1000,1300,1627942268920653370
2021-08-03 01:00:11.828234 UTC,229.25,229.4,1000,300,1627942268920653371
2021-08-03 01:00:11.951949 UTC,229.25,229.4,1000,1300,1627942268920653375
